,,,,,,,,,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,   836.9 1 ,ABCD,2+,6.9 ps 28 ,   836.9 1 ,100,E2 ,0.0,0+
,  1926.28 14 ,ABCD,(3-),≤ 4.9 ps,  1089.4 2 ,100,(E1) ,836.9,2+
,  2146.00 14 ,ABCD,4+,≤ 4.2 ps,  1309.1 2 ,100,E2 ,836.9,2+
,  2271.22 16 ,A   ,(2+), ,"  1434.4 2 
  2271.4 5 ","   20.8 17 
  100 13 ","
","   836.9
     0.0","2+
0+"
,  2414.11 18 ,AB D,(3-),4.2 ps 14 ,  1577.5 2 ,100,(E1+M2) ,836.9,2+
,  2603.94 14 ,ABCD,(4-),≤ 7.6 ps,"   458.0 1 
   677.7 1 
  1766.8 4 ?","   14.6 13 
  100 4 
    3.6 5 ","
(M1+E2) 
","  2146.00
  1926.28
   836.9","4+
(3-)
2+"
,  2614.1 4 ,AB  ,"(2,3,4)", ,  1777.2 3 ,100,,836.9,2+
,  2649.78 15 ,ABCD,4(+),≤ 4.2 ps,"   503.8 1 
   723.7 2 
  1812.74 24 ","  100 4 
   27 5 
   89 6 ","(M1+E2) 

(E2) ","  2146.00
  1926.28
   836.9","4+
(3-)
2+"
,  2703.94 16 ,AB  ,"(2,3,4)", ,"   558.0 1 
  1866.9 3 ","    5.8 6 
  100 9 ","
","  2146.00
   836.9","4+
2+"
,  2710.6 4 ,AB  ,"(2,3,4)", ,  1873.7 3 ,100,,836.9,2+
,  2739.19 16 ,ABC ,(4-),≤ 5.5 ps,"   812.9 1 
  1902.2 3 ","  100 7 
    8.5 11 ","
","  1926.28
   836.9","(3-)
2+"
,  2788.1?,   D,, ,   374.0?,100,,2414.11,(3-)
,  2851.27 17 ,A   ,"(2,3,4)", ,"   925.0 1 
  2014.0 4 ","   60 5 
  100 12 ","
","  1926.28
   836.9","(3-)
2+"
,  2856.89 15 ,A CD,(5)-,25 ps 11 ,"   117.7 2 
   207.14 9 ?
   253.0 1 
   710.76 2 ","   14 3 
   29 4 
   95 4 
  100 8 ","


E1 ","  2739.19
  2649.78
  2603.94
  2146.00","(4-)
4(+)
(4-)
4+"
,  2921.8 4 ,A   ,(2+), ,"  2084.7 4 
  2922.3 7 ","  100 10 
   24.4 24 ","
","   836.9
     0.0","2+
0+"
,  2929.81 16 ,AB  ,"(2,3,4)", ,"   783.8 1 
  2093.0 4 ","   27.4 17 
  100 9 ","
","  2146.00
   836.9","4+
2+"
,  2965.0 5 ,A   ,"(2,3,4)", ,  2128.1 4 ,100,,836.9,2+
,  2972.07 16 ,A CD,(5-),≤ 6.2 ps,"   826.1 1 
  1045.7 2 ","  100 8 
   82 6 ","D+Q 
Q ","  2146.00
  1926.28","4+
(3-)"
,  2981.1 5 ,A   ,"(2,3,4)", ,  2144.2 4 ,100,,836.9,2+
,  3047.38 19 ,A   ,"(2,3,4)", ,"   633.7 2 
  1120.8 2 
  2209.9 4 ","    7.5 10 
   10.5 10 
  100 10 ","

","  2414.11
  1926.28
   836.9","(3-)
(3-)
2+"
